timestamp,open,high,low,close,volume,ticker
2024-10-01 10:00:00,208.49,208.8,208.07,208.71,2152206,GOOGL
2024-10-01 10:05:00,207.96,207.99,207.7,207.89,1744740,GOOGL
2024-10-01 10:10:00,208.05,208.61,207.49,208.25,2702716,GOOGL
2024-10-01 10:15:00,207.09,207.13,206.68,206.98,1960038,GOOGL
2024-10-01 10:20:00,206.42,206.69,206.29,206.63,1996311,GOOGL
2024-10-01 10:25:00,206.28,206.43,206.0,206.13,2728084,GOOGL
2024-10-01 10:30:00,205.65,205.75,204.98,205.63,1049737,GOOGL
2024-10-01 10:35:00,205.62,205.71,205.17,205.27,942157,GOOGL
2024-10-01 10:40:00,205.83,206.09,205.49,205.89,2200465,GOOGL
2024-10-01 10:45:00,206.4,206.45,206.16,206.31,1393805,GOOGL
2024-10-01 10:50:00,206.04,206.4,205.72,206.2,2525089,GOOGL
2024-10-01 10:55:00,206.72,206.99,206.53,206.78,1984895,GOOGL
2024-10-01 11:00:00,206.28,206.8,206.24,206.26,2262603,GOOGL
2024-10-01 11:05:00,205.37,205.74,205.11,205.67,2075029,GOOGL
2024-10-01 11:10:00,205.83,206.63,205.46,206.12,936645,GOOGL
2024-10-01 11:15:00,206.54,206.68,206.4,206.42,1842092,GOOGL
2024-10-01 11:20:00,206.17,206.39,206.01,206.2,2452131,GOOGL
2024-10-01 11:25:00,205.53,205.96,205.14,205.65,1986837,GOOGL
2024-10-01 11:30:00,206.24,206.69,206.1,206.39,1142221,GOOGL
2024-10-01 11:35:00,205.4,205.77,205.26,205.54,1979580,GOOGL
2024-10-01 11:40:00,205.28,205.39,205.02,205.25,853687,GOOGL
2024-10-01 11:45:00,205.47,205.64,204.71,205.38,1654744,GOOGL
2024-10-01 11:50:00,205.88,206.71,205.75,206.29,1956191,GOOGL
2024-10-01 11:55:00,206.78,207.12,206.44,206.5,1779091,GOOGL
2024-10-01 12:00:00,207.02,207.13,206.65,206.75,1404453,GOOGL
2024-10-01 12:05:00,206.01,206.58,205.43,206.48,1382111,GOOGL
2024-10-01 12:10:00,206.99,207.26,206.77,206.78,2839660,GOOGL
2024-10-01 12:15:00,207.05,207.17,206.69,206.84,2819450,GOOGL
2024-10-01 12:20:00,206.06,206.64,205.72,206.06,1306554,GOOGL
2024-10-01 12:25:00,206.21,206.51,206.12,206.47,2771140,GOOGL
2024-10-01 12:30:00,207.17,207.58,206.92,206.97,2851789,GOOGL
2024-10-01 12:35:00,207.33,207.47,207.32,207.38,1927109,GOOGL
